Date,Open,High,Low,Close,Adj Close,Volume
01-04-2010,44.733002,44.889999,44.325001,44.400002,44.400002,0
08-04-2010,44.458,44.689999,44.119999,44.209999,44.209999,0
15-04-2010,44.209999,44.737999,44.209999,44.400002,44.400002,0
22-04-2010,44.400002,44.757999,44.25,44.5,44.5,0
29-04-2010,44.639999,44.974998,44.217999,44.849998,44.849998,0
06-05-2010,44.939999,45.717999,44.75,44.950001,44.950001,0
13-05-2010,45.110001,46.397999,44.935001,46.272999,46.272999,0
20-05-2010,46.272999,47.73,46.200001,47.099998,47.099998,0
27-05-2010,47.118,47.27,46.299999,46.799999,46.799999,0
03-06-2010,46.98,47.400002,46.450001,46.810001,46.810001,0
10-06-2010,46.810001,47.07,46.278,46.41,46.41,0
17-06-2010,46.41,46.630001,45.540001,46.150002,46.150002,0
24-06-2010,46.18,46.654999,46.07,46.400002,46.400002,0
01-07-2010,46.678001,47.145,46.349998,46.950001,46.950001,0
08-07-2010,46.950001,46.950001,46.400002,46.599998,46.599998,0
15-07-2010,46.599998,47.428001,46.080002,47.07,47.07,0
22-07-2010,47.09,47.349998,46.549999,46.689999,46.689999,0
29-07-2010,46.689999,46.724998,46.028,46.127998,46.127998,0
05-08-2010,46,46.702999,45.939999,46.310001,46.310001,0
12-08-2010,46.59,47.029999,46.423,46.608002,46.608002,0
19-08-2010,46.257999,47.018002,46.257999,46.858002,46.858002,0
26-08-2010,46.873001,47.103001,46.728001,47.028,47.028,0
02-09-2010,46.650002,46.868,46.448002,46.66,46.66,0
09-09-2010,46.518002,46.612999,46.139999,46.139999,46.139999,0
16-09-2010,46.200001,46.41,45.428001,45.580002,45.580002,0
23-09-2010,45.557999,45.705002,44.799999,45.049999,45.049999,0
30-09-2010,44.563,44.939999,44.198002,44.400002,44.400002,0
07-10-2010,44.200001,44.757999,42.209999,44.5,44.5,0
14-10-2010,44.509998,44.509998,43.987999,44.330002,44.330002,0
21-10-2010,44.200001,44.610001,44.200001,44.400002,44.400002,0
28-10-2010,44.419998,44.568001,44.200001,44.200001,44.200001,0
04-11-2010,44.393002,44.463001,43.84,44.189999,44.189999,0
11-11-2010,44.310001,45.432999,44.233002,45.189999,45.189999,0
18-11-2010,45.108002,45.873001,45.108002,45.540001,45.540001,0
25-11-2010,45.700001,46.110001,45.299999,45.77,45.77,0
02-12-2010,45.23,45.369999,44.5,44.5,44.5,0
09-12-2010,45,45.5,44.849998,44.91,44.91,0
16-12-2010,45.25,45.654999,44.950001,45.18,45.18,0
23-12-2010,44.950001,45.278,44.950001,44.950001,44.950001,0
30-12-2010,44.919998,45.438,44.599998,44.900002,44.900002,0
06-01-2011,45.209999,45.548,45.013,45.098,45.098,0
13-01-2011,44.91,45.647999,44.91,45.32,45.32,0
20-01-2011,45.450001,45.842999,45.450001,45.610001,45.610001,0
27-01-2011,45.450001,46.009998,45.41,45.41,45.41,0
03-02-2011,45.450001,45.682999,45.150002,45.150002,45.150002,0
10-02-2011,45.349998,45.775002,45.333,45.41,45.41,0
17-02-2011,45.310001,45.450001,44.917999,45.150002,45.150002,0
24-02-2011,45.049999,45.490002,44.75,44.830002,44.830002,0
03-03-2011,44.945,45.182999,44.849998,44.900002,44.900002,0
10-03-2011,44.869999,45.360001,44.869999,45.16,45.16,0
17-03-2011,45.02,45.262501,44.75,44.849998,44.849998,0
24-03-2011,44.75,44.893002,44.549999,44.66,44.66,0
31-03-2011,44.744999,44.744999,44.049999,44.299999,44.299999,0
07-04-2011,44.049999,44.592999,43.93,44.188,44.188,0
14-04-2011,44.467999,44.689999,44.252998,44.41,44.41,0
21-04-2011,44.259998,44.615002,44.25,44.41,44.41,0
28-04-2011,44.330002,44.610001,44.208,44.41,44.41,0
05-05-2011,44.32,44.889999,44.32,44.610001,44.610001,0
12-05-2011,44.689999,45.169998,44.689999,45.009998,45.009998,0
19-05-2011,44.959999,45.419998,44.8825,45.16,45.16,0
26-05-2011,45.330002,45.333,44.75,44.959999,44.959999,0
02-06-2011,44.84,44.9725,44.573002,44.610001,44.610001,0
09-06-2011,44.700001,44.904999,44.549999,44.738998,44.738998,0
16-06-2011,44.759998,45.053001,44.689999,44.759998,44.759998,0
23-06-2011,44.75,45.130001,44.75,44.939999,44.939999,0
30-06-2011,44.865002,44.865002,44.327999,44.34,44.34,0
07-07-2011,44.330002,44.75,44.292999,44.560001,44.560001,0
14-07-2011,44.52,44.662998,44.310001,44.369999,44.369999,0
21-07-2011,44.439999,44.525002,43.852501,44.049999,44.049999,0
28-07-2011,44.080002,44.397999,44,44.263,44.263,0
04-08-2011,44.313,45.380001,44.313,45.202999,45.202999,0
11-08-2011,45.240002,45.450001,45.169998,45.252998,45.252998,0
18-08-2011,45.41,46.080002,45.41,45.540001,45.540001,0
25-08-2011,45.985001,46.200001,45.779999,45.939999,45.939999,0
01-09-2011,45.662998,46.174999,40.700001,46.040001,46.040001,0
08-09-2011,46.162498,48,46.132999,47.459999,47.459999,0
15-09-2011,47.560001,48.393002,47.150002,47.91,47.91,0
22-09-2011,48.330002,49.889999,48.330002,48.810001,48.810001,0
29-09-2011,48.740002,49.529999,48.740002,49.303001,49.303001,0
06-10-2011,49.237999,49.459999,48.813,49.237999,49.237999,0
13-10-2011,48.91,49.388,48.689999,49.240002,49.240002,0
20-10-2011,49.139999,50.313,49.139999,49.41,49.41,0
27-10-2011,49.318001,49.498001,48.603001,49.257999,49.257999,0
03-11-2011,49.103001,50.178001,48.900002,49.310001,49.310001,0
10-11-2011,49.978001,50.950001,49.919998,50.623001,50.623001,0
17-11-2011,50.740002,52.720001,50.634998,52.483002,52.483002,0
24-11-2011,52.257999,52.450001,51.860001,51.903,51.903,0
01-12-2011,51.73,51.849998,51.049999,51.200001,51.200001,0
08-12-2011,51.720001,53.877998,51.667999,53.099998,53.099998,0
15-12-2011,53.709999,54.303001,52.209999,52.709999,52.709999,0
22-12-2011,52.490002,53.43,52.490002,52.849998,52.849998,0
29-12-2011,52.98,53.487999,52.849998,53.049999,53.049999,0
05-01-2012,53.040001,53.040001,51.560001,51.599998,51.599998,0
12-01-2012,51.75,51.880001,50.349998,50.650002,50.650002,0
19-01-2012,50.09,50.473,49.900002,50,50,0
26-01-2012,49.959999,49.959999,49.294998,49.5,49.5,0
02-02-2012,49.264999,49.264999,48.549999,49.042999,49.042999,0
09-02-2012,49.053001,49.75,49.049999,49.358002,49.358002,0
16-02-2012,49.368,49.408001,49.049999,49.303001,49.303001,0
23-02-2012,49.237999,49.298,48.845001,49.068001,49.068001,0
01-03-2012,49.075001,50.75,48.900002,50.358002,50.358002,0
08-03-2012,50.272999,50.292999,49.650002,49.830002,49.830002,0
15-03-2012,49.917999,50.678001,49.917999,50.388,50.388,0
22-03-2012,50.673,51.48,50.400002,50.678001,50.678001,0
29-03-2012,50.75,51.412998,50.509998,50.25,50.25,0
05-04-2012,51.048,51.632999,50.950001,51.473,51.473,0
12-04-2012,51.515999,51.798,51.162998,51.467999,51.467999,0
19-04-2012,51.723,52.860001,51.618,52.673,52.673,0
26-04-2012,52.443001,53.009998,52.263,52.529999,52.529999,0
03-05-2012,52.935001,53.904999,52.669998,53.118,53.118,0
10-05-2012,53.912998,54.507999,52.928001,53.787998,53.787998,0
17-05-2012,54.395,56.299999,54.202999,55.388,55.388,0
24-05-2012,55.917999,56.377998,55.029999,55.667999,55.667999,0
31-05-2012,56.153,56.487999,54.349998,55.638,55.638,0
07-06-2012,55.209999,56.07,54.75,55.798,55.798,0
14-06-2012,55.698002,56.248001,55.325001,55.948002,55.948002,0
21-06-2012,56.103001,57.330002,56.099998,57.007999,57.007999,0
28-06-2012,56.882999,57.150002,54.169998,54.358002,54.358002,0
05-07-2012,54.563,56.063,54.423,55.388,55.388,0
12-07-2012,55.618,55.948002,54.775002,55.098,55.098,0
19-07-2012,55.252998,56.428001,55,56.108002,56.108002,0
26-07-2012,56.002998,56.099998,55.200001,55.647999,55.647999,0
02-08-2012,55.467999,56.193001,54.900002,55.063,55.063,0
09-08-2012,55.188,55.77,55.040001,55.647999,55.647999,0
16-08-2012,55.647999,56.018002,55.318001,55.362999,55.362999,0
23-08-2012,55.493,55.880001,55.119999,55.662998,55.662998,0
30-08-2012,55.623001,55.998001,55.388,55.647999,55.647999,0
06-09-2012,55.853001,56.02,55.092999,55.338001,55.338001,0
13-09-2012,55.174,55.478001,53.685001,54.018002,54.018002,0
20-09-2012,54.018002,54.403,53.080002,53.358002,53.358002,0
27-09-2012,53.537998,53.542999,52.127998,52.397999,52.397999,0
04-10-2012,52.153,53.173,51.403,52.717999,52.717999,0
11-10-2012,53.002998,53.150002,52.502998,52.868,52.868,0
18-10-2012,52.868,53.990002,52.737999,53.717999,53.717999,0
25-10-2012,53.733002,54.200001,53.452999,53.958,53.958,0
01-11-2012,53.823002,54.791,53.599998,54.417999,54.417999,0
08-11-2012,54.198002,55.103001,54.108002,54.877998,54.877998,0
15-11-2012,54.803001,55.358002,54.618,55.098,55.098,0
